Temp_min,Temp_max,DisO2_min,DisO2_max,pH_min,pH_max,Conductivity_min,Conductivity_max,N_min,N_max,Fecal_Col_min,Fecal_Col_max,Total_Coli_min,Total_Coli_max,BOD_avg,Type_RIVER,Type_LAKE ,Type_TANK ,Type_WETLAND ,Type_POND 
21.0,24.5,7.3,7.3,7.4,7.4,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,3.8,1,0,0,0,0
12.0,26.0,8.2,8.5,7.3,7.5,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,1.85,1,0,0,0,0
22.0,24.0,7.5,7.6,7.5,7.6,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.2,1,0,0,0,0
21.5,24.0,7.7,7.7,7.6,7.6,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.35,1,0,0,0,0
12.0,28.0,7.3,8.3,6.6,7.4,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.05,1,0,0,0,0
24.0,27.0,7.5,7.7,7.5,7.6,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,3.45,1,0,0,0,0
21.5,24.0,7.5,7.5,7.5,7.5,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,3.2,1,0,0,0,0
21.0,22.0,7.5,7.5,7.5,7.5,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.5,1,0,0,0,0
20.0,21.5,7.5,7.6,7.5,7.5,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.7,1,0,0,0,0
30.0,32.0,7.4,7.6,7.4,7.5,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.9,1,0,0,0,0
34.0,34.0,7.5,7.5,7.4,7.6,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.5,1,0,0,0,0
26.0,27.0,7.4,7.5,7.4,7.5,505.48987390141383,1648.5368742835308,0.9449383730484797,4.755774127310062,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,1.9,1,0,0,0,0
20.0,31.5,7.6,8.8,7.0,7.9,115.0,325.0,0.3,0.5,2200.0,4900.0,3300.0,7900.0,2.4,1,0,0,0,0
19.0,31.5,7.5,8.7,7.1,7.9,187.0,339.0,0.3,1.4,2200.0,4000.0,3200.0,6300.0,2.15,1,0,0,0,0
20.0,32.0,7.4,8.3,6.9,8.1,147.0,355.0,0.3,1.1,2200.0,3300.0,3900.0,4700.0,2.25,1,0,0,0,0
17.5,33.0,6.8,7.9,7.0,8.2,251.0,448.0,0.3,1.5,3300.0,4900.0,4700.0,9400.0,3.75,1,0,0,0,0
20.0,31.0,7.5,8.7,7.1,8.3,172.0,382.0,0.3,1.01,2100.0,4100.0,3300.0,7000.0,2.1500000000000004,1,0,0,0,0
20.5,30.0,7.5,8.5,7.1,8.2,162.0,320.0,0.3,0.7,2100.0,4700.0,3200.0,7900.0,2.1500000000000004,1,0,0,0,0
21.0,31.5,7.5,8.9,7.0,7.8,118.0,338.0,0.3,0.3,2000.0,3200.0,2600.0,4300.0,1.8,1,0,0,0,0
20.5,31.0,7.5,8.5,6.9,8.1,174.0,305.0,0.3,0.7,2500.0,4000.0,3900.0,5800.0,2.75,1,0,0,0,0
20.0,31.5,7.6,8.6,7.1,7.8,249.0,386.0,0.3,0.81,2400.0,7900.0,3400.0,11000.0,2.4,1,0,0,0,0
20.0,32.0,7.7,8.6,7.3,8.3,170.0,26410.0,0.3,0.8,1400.0,3900.0,2100.0,7900.0,2.45,1,0,0,0,0
21.5,32.0,0.3,4.3,7.4,8.0,285.0,745.0,0.3,0.9,1300.0,540000.0,4900.0,920000.0,8.9,1,0,0,0,0
22.0,34.0,7.5,8.4,7.0,8.1,99.0,237.0,0.3,0.9,780.0,3400.0,1300.0,5800.0,1.6,1,0,0,0,0
28.0,28.0,1.8,1.8,7.4,7.4,239.0,239.0,0.46,0.46,790.0,790.0,14000.0,14000.0,3.0,1,0,0,0,0
20.5,32.0,1.2,6.3,7.2,8.1,289.0,748.0,0.3,0.7,4600.0,33000.0,6300.0,63000.0,7.15,1,0,0,0,0
22.0,32.5,0.4,4.4,7.4,8.0,282.0,817.0,0.3,0.65,1700.0,54000.0,3300.0,92000.0,11.45,1,0,0,0,0
25.0,28.0,0.8,1.5,7.4,7.5,255.0,673.0,0.32,0.46,490.0,460000.0,7900.0,3300000.0,9.0,1,0,0,0,0
20.0,32.0,7.7,8.5,7.2,8.3,107.0,317.0,0.3,0.3,1500.0,4100.0,2400.0,5800.0,2.35,1,0,0,0,0
21.0,32.0,1.4,10.3,7.3,8.1,302.0,644.0,0.3,0.6,1700.0,63000.0,4900.0,94000.0,4.1,1,0,0,0,0
22.0,29.0,5.6,7.8,7.6,7.8,623.0,3695.0,0.4,1.8,930.0,1700.0,3300.0,4600.0,1.05,1,0,0,0,0
19.0,29.0,6.4,9.0,7.6,7.9,512.0,1607.0,0.7,2.5,8400.0,8400.0,17000.0,17000.0,1.5,1,0,0,0,0
22.0,34.0,6.8,8.3,7.3,8.3,104.0,352.0,0.3,1.5,2100.0,35000.0,2600.0,54000.0,2.6,1,0,0,0,0
